"S1","Vj.fit","se","od.m","od.sd"
"C",0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527
"E",0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713
"M",1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433
"P",0.184832622968474,0.01983947055431,0.00454,0.00260633842775646
"S",1.21731313276615,0.133091299998755,0.15492,0.00665146600382202
"T",7.66547152852633,0.265089646573444,0.1933,0.0182366389447179
