 + T,+ C, + V, + TC, + TV, + CV, + TCV,BE starch
0.003,-0.003,-0.004,0.002,-0.003,0.095,0.143,0.046
-0.001,-0.001,0.003,0.002,0.000,0.062,0.165,0.032
