"pair","bg","bg.obs","bg.obs.se","single.1","s1.e","single.2","s2.e","expected.V","expected.se","observed.V","observed.se","epsilon","epsilon.se","eps.zero","eps.zero.se","bg.size","d.epsilon.ABC","d.epsilon.ABC.se","Vj.1.V2","Vj.1.V2.se","Vj.2.V2","Vj.2.V2.se","Vj.real.V2","se.real.V2","eps.2","eps.2.se"
"C-E","M",2.60510350865721,0.257948961344854,-2.60510350865721,0.257948961344854,-1.07740044617138,0.27407114757141,-3.68250395482859,0.376367719909663,-2.07678653987604,0.273567193294797,1.60571741495255,0.465286653405394,0.497554983536475,0.119851363359158,1,1.10816243141608,0.480474785120136,2.60510350865721,0.257948961344854,-0.579845462634905,0.471757010067616,0.528316968781174,0.0911117039040756,-3.18494897129211,0.537673082092479
"C-E","P",0.339957610763573,0.128840164092509,2.52776901911999,0.286932933905884,16.2289027256401,1.27691719156891,18.7566717447601,1.30875819870749,9.67027114055983,0.726710847483276,-9.08640060420029,1.49698252445843,0.497554983536475,0.119851363359158,1,-9.58395558773676,1.50177262854034,0.339957610763573,0.128840164092509,19.5941843390601,1.32053480070254,10.0102287513234,0.715198481518576,19.2542267282965,1.32680516570817
"C-E","S",1.49481754514853,0.0561185978486826,0.45865844142605,0.089012353752135,-0.10951938027812,0.0927528843282115,0.34913906114793,0.128554644691267,NA,NA,NA,NA,0.497554983536475,0.119851363359158,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-E","T",7.97124445026975,0.203194710922311,0.612834344846161,1.28722853889704,3.30712690004425,0.656346199977951,3.91996124489041,1.44490402642408,2.14971777335025,0.576884445487772,-1.77024347154016,1.55580953494387,0.497554983536475,0.119851363359158,1,-2.26779845507664,1.56041906496982,7.97124445026975,0.203194710922311,12.3887606786966,1.46403554786841,10.12096222362,0.539914412568263,4.41751622842685,1.47806907009421
"C-E","-",0,0,0,0,0,0,0,0,0.497554983536475,0.119851363359158,0.497554983536475,0.119851363359158,0.497554983536475,0.119851363359158,0,0,0.169495423531427,NA,NA,NA,NA,NA,NA,NA,NA
"C-M","E",0,0,0.497554983536475,0.119851363359158,1.52770306248583,0.0926138611235951,2.02525804602231,0.151465100175814,0.528316968781174,0.0911117039040756,-1.49694107724113,0.176756949395415,-2.60510350865721,0.257948961344854,1,1.10816243141608,0.312699033926334,2.60510350865721,0.257948961344854,-0.579845462634905,0.471757010067616,0.528316968781174,0.0911117039040756,-3.18494897129211,0.537673082092479
"C-M","P",0.339957610763573,0.128840164092509,2.52776901911999,0.286932933905884,22.1961512876836,3.12828938070919,24.7239203068036,3.14142085019148,14.5850346951768,0.895889439664802,-10.1388856116268,3.26667152406248,-2.60510350865721,0.257948961344854,1,-7.53378210296958,3.27684001940582,2.94506111942078,0.288335662973337,22.45877440891,3.17564761046905,14.9249923059404,0.886576618358238,19.5137132894892,3.18871058586697
"C-M","S",1.49481754514853,0.0561185978486826,0.45865844142605,0.089012353752135,0.19618765595336,0.122236955582951,0.65484609737941,0.151212011529123,NA,NA,NA,NA,-2.60510350865721,0.257948961344854,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-M","T",7.97124445026975,0.203194710922311,0.612834344846161,1.28722853889704,3.25331120239845,0.722623513772994,3.86614554724461,1.47619174025892,0.639180640951451,0.471213019364581,-3.22696490629316,1.54957534945137,-2.60510350865721,0.257948961344854,1,-0.621861397635951,1.570898287696,10.576347958927,0.328368325521343,9.23228648885715,1.55564878572643,8.6104250912212,0.425151289627449,-1.34406147006985,1.58992732592965
"C-M","-",0,0,0,0,2.60510350865721,0.257948961344854,2.60510350865721,0.257948961344854,0,0,-2.60510350865721,0.257948961344854,-2.60510350865721,0.257948961344854,0,0,0.364794919533946,NA,NA,NA,NA,NA,NA,NA,NA
