"pair","bg","bg.obs","bg.obs.se","single.1","s1.e","single.2","s2.e","expected.V","expected.se","observed.V","observed.se","epsilon","epsilon.se","eps.zero","eps.zero.se","bg.size","d.epsilon.ABC","d.epsilon.ABC.se"
"C-E","M",2.60510350865721,0.257948961344854,-2.60510350865721,0.257948961344854,-1.07740044617138,0.27407114757141,-3.68250395482859,0.376367719909663,-2.07678653987604,0.273567193294797,1.60571741495255,0.465286653405394,0.497554983536475,0.119851363359158,1,1.10816243141608,0.480474785120136
"C-E","P",0.339957610763573,0.128840164092509,2.52776901911999,0.286932933905884,16.2289027256401,1.27691719156891,18.7566717447601,1.30875819870749,9.67027114055983,0.726710847483276,-9.08640060420029,1.49698252445843,0.497554983536475,0.119851363359158,1,-9.58395558773676,1.50177262854034
"C-E","S-T",11.4287393863939,0.588024485271409,NA,NA,0.6019505553201,0.853354636874686,NA,NA,NA,NA,NA,NA,0.497554983536475,0.119851363359158,2,NA,NA
"C-E","S",1.49481754514853,0.0561185978486826,0.45865844142605,0.089012353752135,-0.10951938027812,0.0927528843282115,0.34913906114793,0.128554644691267,NA,NA,NA,NA,0.497554983536475,0.119851363359158,1,NA,NA
"C-E","M-P",22.5361088984472,3.1256350813194,-7.6111165925068,3.24894025211207,-0.5859316075111,3.99524890165057,-8.1970482000179,5.14952682757689,-10.8266740933143,3.45166607020385,-2.6296258932964,6.19932457676888,0.497554983536475,0.119851363359158,2,-3.12718087683287,6.20048301001057
"C-E","M-P-S",24.1573193175668,1.64381495018283,NA,NA,11.6756114003743,1.76643348370891,NA,NA,6.9251151319755,1.96807024510483,NA,NA,0.497554983536475,0.119851363359158,3,NA,NA
"C-E","T",7.97124445026975,0.203194710922311,0.612834344846161,1.28722853889704,3.30712690004425,0.656346199977951,3.91996124489041,1.44490402642408,2.14971777335025,0.576884445487772,-1.77024347154016,1.55580953494387,0.497554983536475,0.119851363359158,1,-2.26779845507664,1.56041906496982
"C-E","P-S",33.4144028645026,1.02188921225275,NA,NA,-2.8631179515234,1.60089942263006,NA,NA,NA,NA,NA,NA,0.497554983536475,0.119851363359158,2,NA,NA
"C-E","M-S",1.69100520110189,0.108593629121078,NA,NA,0.99480064122338,0.203951362722804,NA,NA,NA,NA,NA,NA,0.497554983536475,0.119851363359158,2,NA,NA
"C-E","M-P-T",18.4011996486109,1.24066879194219,-2.5858975275238,1.46611642743688,2.0404363366414,1.54256303398429,-0.545461190882396,2.12814428378696,-5.0808384472069,2.61670484881532,-4.5353772563245,3.37285374103721,0.497554983536475,0.119851363359158,3,-5.03293223986098,3.37498247517343
