"S2","S1","Vj.fit","se","Vj.s1","se.s1","od.m.x","od.sd.x","Vj.s2","se.s2","od.m.y","od.sd.y","Vj.pred","Vj.pred.se","xt","f.fitted","upper.f.fitted","lower.f.fitted","f.pred","upper.f.pred","lower.f.pred"
"C","C",0.217480404291784,0.0157541619036859,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.217480404291784,0.0222797494280141,0,0,0,0,0,0,0
"C","E",0.118407044972418,0.00741942590072597,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.128393037732177,0.0189126428768667,0,0,0,0,0,0,0
"C","M",0.988512062582894,0.0357302860722967,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.943095383188889,0.078164113919539,0,0,0,0,0,0,0
"C","P",0.160993943808967,0.0110808157067886,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.201156513630129,0.0253337365811457,0,0,0,0,0,0,0
"C","S",0.710885540380914,0.0179965581112947,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.717396768528968,0.134020475124685,0,0,0,0,0,0,0
"C","T",3.60081393827509,0.22124759219211,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,3.94147596640906,0.265557365436775,0,0,0,0,0,0,0
"E","E",0.0393056711725707,0.0104639592554802,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.0393056711725707,0.0147982730952196,0,0,0,0,0,0,0
"E","M",0.88469217783498,0.024727676759557,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.854008016629283,0.0772717900066995,0,0,0,0,0,0,0
"E","P",0.109934527346908,0.0133150806811061,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.112069147070522,0.022429869263455,0,0,0,0,0,0,0
"E","S",0.630504551677014,0.0358923511332829,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.628309401969361,0.133502017133297,0,0,0,0,0,0,0
"E","T",3.74927846446143,0.239215690875848,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,3.85238859984945,0.265296089612594,0,0,0,0,0,0,0
"M","M",1.66871036208599,0.0765600097148578,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,1.66871036208599,0.108272204074168,0,0,0,0,0,0,0
"M","P",0.950036785518686,0.0373289538410525,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,0.926771492527234,0.0790888088127167,0,0,0,0,0,0,0
"M","S",1.40477439100873,0.0708902852441646,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,1.44301174742607,0.153540643553744,0,0,0,0,0,0,0
"M","T",5.57493264826994,0.415936064740689,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,4.66709094530616,0.275923822472748,0,0,0,0,0,0,0
