"cond.SN","cond.SN.dil","starch","replc","cells","abs"
"M",10,TRUE,"1",TRUE,0.373
"P",10,TRUE,"2",TRUE,1.415
"P",10,TRUE,"1",TRUE,1.468
"S",10,TRUE,"2",TRUE,0.377
"S",10,TRUE,"1",TRUE,0.327
"T",10,TRUE,"2",TRUE,0.323
"T",10,TRUE,"1",TRUE,0.246
"C",5,TRUE,"2",TRUE,1.468
"C",5,TRUE,"1",TRUE,1.464
"E",5,TRUE,"2",TRUE,1.531
"E",5,TRUE,"1",TRUE,1.464
"M",5,TRUE,"2",TRUE,0.762
"M",5,TRUE,"1",TRUE,0.734
"P",5,TRUE,"2",TRUE,1.468
"P",5,TRUE,"1",TRUE,1.491
"S",5,TRUE,"2",TRUE,0.801
"S",5,TRUE,"1",TRUE,0.781
"T",5,TRUE,"2",TRUE,0.626
"T",5,TRUE,"1",TRUE,0.603
"C",0,TRUE,"1",FALSE,1.533
"E",0,TRUE,"1",FALSE,1.533
"M",0,TRUE,"1",FALSE,1.533
"P",0,TRUE,"1",FALSE,1.533
"S",0,TRUE,"1",FALSE,1.533
"T",0,TRUE,"1",FALSE,1.533
"C",0,TRUE,"2",FALSE,1.533
"E",0,TRUE,"2",FALSE,1.533
"M",0,TRUE,"2",FALSE,1.533
"P",0,TRUE,"2",FALSE,1.533
"S",0,TRUE,"2",FALSE,1.533
"T",0,TRUE,"2",FALSE,1.533
"C",0,TRUE,"1",TRUE,1.533
"E",0,TRUE,"1",TRUE,1.533
"M",0,TRUE,"1",TRUE,1.533
"P",0,TRUE,"1",TRUE,1.533
"S",0,TRUE,"1",TRUE,1.533
"T",0,TRUE,"1",TRUE,1.533
"C",0,TRUE,"2",TRUE,1.533
"E",0,TRUE,"2",TRUE,1.533
"M",0,TRUE,"2",TRUE,1.533
"P",0,TRUE,"2",TRUE,1.533
"S",0,TRUE,"2",TRUE,1.533
"T",0,TRUE,"2",TRUE,1.533
