"N","Prop.Mean.1","Prop.Mean.2","Prop.sd.1","Prop.sd.2","prop2.5","prop97.5","Sim.Mean","Sim.sd","Sim.Median","Sim.MAD","sim2.5","sim97.5"
100,0.104274796685949,0.135744980897391,2.57085968166694,2.5712502375208,0.1,5.2845847687266,0.196935469167867,80.196042237823,0.159658221534941,2.586114793405,-5.34579206995188,5.38302061856111
1328.95030709101,1.34868406263993,1.73183608407313,2.19294087441691,2.25985925705281,0.1,6.25712618918043,-21.9951223496148,23571.9293119407,1.79153585580804,2.36948451058124,-9.05343634182749,8.02359519726687
2557.90061418202,2.5282398750129,3.20529681197543,1.95107318198789,2.17670462105272,0.1,7.56407263071262,3.10286801622396,2099.58658975436,3.13480209725904,2.30970616789641,-12.3719483310227,13.4614992278879
3786.85092127303,3.64788331918929,4.56995930969956,1.83916040512361,2.26091121764631,0.1,9.09735592955987,6.27117028099915,4369.63536341985,4.32538563228842,2.31183075758458,-14.7435628152457,19.5086486550335
5015.80122836404,4.71206597383065,5.83770469480554,1.83574043711173,2.43920243587461,0.95328606874815,10.7221233208629,17.466649840732,11862.1479315349,5.4148020333119,2.34311017010511,-16.3059630347012,24.7872317685906
6244.75153545505,5.7248090642841,7.01878421522533,1.90869249289774,2.65631338817552,1.69960840635158,12.3379600240991,2.71397010330377,4707.92460157267,6.43042313672962,2.38612554063876,-16.8167718413078,29.024744893617
7473.70184254606,6.68975424049186,8.12208084653398,2.02660955514,2.87989208799091,2.35519641384673,13.8889652792212,8.31688047183168,917.433313649737,7.36880937069859,2.44136073777547,-16.4646930362418,33.0797875676067
8702.65214963708,7.61020733103513,9.15532351319844,2.16585226150129,3.09335317249423,2.96099063189048,15.3496563945064,-5.29913829973911,12048.9251086285,8.26754701666577,2.5092523640744,-14.0435013832013,36.3887629968372
9931.60245672809,8.48917618127648,10.12526340788,2.31115081112336,3.28901420225076,3.53912607275525,16.7114007430047,11.3547948906251,3190.15853076599,9.11055707050901,2.56232789067512,2.01372982699449,39.0188615413433
11160.5527638191,9.32940348822586,11.0378198211209,2.45347656071783,3.4638958227053,4.10148808157108,17.9741515606706,15.3257909648726,5393.54892981662,9.91041339702115,2.62446764630855,4.29636946221661,41.4548559191506
12389.5030709101,10.1333953873248,11.8982013150661,2.58782362312062,3.61744424671554,4.6543941601073,19.142008470025,10.3436710898404,1683.90598971815,10.6824901288569,2.69111249337929,5.43813252845398,42.9701208889629
13618.4533780011,10.9034464188202,12.7110068584075,2.71162780293977,3.75032924966101,5.20110207499259,20.2209116418224,-6.65635408905546,25573.4536959359,11.4289447186911,2.7464394895201,6.43815008216931,44.6251753757491
14847.4036850921,11.6416613975997,13.480310596708,2.82377148540069,3.86380782933011,5.74316887713626,21.2174523162797,-1.96958849841288,14946.8409787828,12.133688157483,2.81022670636237,7.25163309860343,45.7215956211836
16076.3539921831,12.349974625483,14.2097331969761,2.923983545066,3.95938429333137,6.28120290952072,22.1382634844315,14.5085086077226,1385.07587465554,12.8188298390651,2.87050484653052,8.03638400517558,46.664826382846
17305.3042992742,13.0301668152473,14.9025021288752,3.0124811004595,4.03862811380941,6.81528882805022,22.9897154297001,17.4912165250266,1540.94264042332,13.4614431503698,2.90406042192577,8.78300895931311,47.659283287123
18534.2546063652,13.6838800381643,15.5615027905737,3.08975505725823,4.10307743088888,7.34523195842221,23.7777736227251,38.1828382813694,17966.8486930399,14.098513938152,2.95499949396294,9.47343022211658,47.9826562827708
19763.2049134562,14.3126309592043,16.1893220272948,3.15644093006238,4.15418987520067,7.87070029086902,24.5079437637205,3.06523756130556,11547.8804516224,14.7031614420646,2.99104390106928,10.1308424630922,48.143975244444
20992.1552205472,14.9178225844705,16.7882853040754,3.2132406810919,4.19331983900678,8.39130716670464,25.1852634414463,16.5881003535362,1098.86373693851,15.2865962887865,3.02319549851417,10.7485397929054,48.0291354027682
22221.1055276382,15.5007547123902,17.3604885650764,3.26087546514908,4.22171057115909,8.90665896720663,25.8143181629462,17.8102904996357,1208.87388107712,15.8480809415573,3.04829594947919,11.360548888473,48.428922393593
23450.0558347292,16.0626332525172,17.9078256276669,3.30005733979037,4.24049449572994,9.41638186965405,26.3992693856797,12.4900038227734,8820.44789004707,16.3953620392725,3.08249466520074,11.9123242235353,48.1286693577607
24679.0061418202,16.6045785525522,18.4320118109504,3.33147274307904,4.25069795270827,9.92013598277305,26.9438876391277,17.0657406687924,1774.96525312664,16.9290470920991,3.10235096642002,12.4689195964215,48.1810633780184
25907.9564489112,17.1276328545781,18.9346043780309,3.35577333155359,4.25324815250156,10.4176218628532,27.4515868932085,25.9428517456179,4823.04532189487,17.4351775613364,3.11832539060815,13.0177221161669,47.5374677547538
27136.9067560022,17.63276698493,19.4170202733985,3.37357143890145,4.24898106027416,10.9085824630178,27.9254580837792,20.1180554711179,4198.23659830253,17.9283568501671,3.11993515849548,13.5327864873287,47.6928768968246
28365.8570630932,18.120886368048,19.8805515568477,3.38543842966189,4.23864947041421,11.3928023983011,28.3683007153942,12.8682553925193,7253.32898625839,18.4090151407178,3.13500076300461,14.0279950985681,47.5413431673139
29594.8073701843,18.5928364426901,20.3263788697905,3.39190484873984,4.22293085537488,11.8701056949281,28.782652044653,21.6117570333347,692.146767801504,18.8688227121457,3.14613891870021,14.5006765393575,46.9784621300915
30823.7576772753,19.0494075486668,20.7555832159023,3.39346166057932,4.20243476710416,12.3403527498526,29.1708136819521,22.1613561097552,684.409447520611,19.3125640025135,3.14221369351834,14.9697377102101,46.7211760901439
