"cfu.m","predicted"
0,0
10,0.000385315119487848
20,0.000770578829582534
30,0.00115579114057206
40,0.0015409520627417
50,0.00192606160637395
60,0.0023111197817486
70,0.00269612659914267
80,0.00308108206883046
90,0.00346598620108352
100,0.00385083900617065
110,0.00423564049435793
120,0.00462039067590869
130,0.00500508956108353
140,0.00538973716014031
150,0.00577433348333416
160,0.00615887854091747
170,0.0065433723431399
180,0.00692781490024839
190,0.00731220622248711
200,0.00769654632009755
210,0.00808083520331844
220,0.00846507288238578
230,0.00884925936753286
240,0.00923339466899024
250,0.00961747879698573
260,0.0100015117617444
270,0.0103854935734888
280,0.0107694242424383
290,0.0111533037788101
300,0.0115371321928183
310,0.0119209094946744
320,0.0123046356945871
330,0.0126883108027626
340,0.0130719348294041
350,0.0134555077847123
360,0.0138390296788852
370,0.0142225005221177
380,0.0146059203246026
390,0.0149892890965295
400,0.0153726068480854
410,0.0157558735894547
420,0.0161390893308191
430,0.0165222540823574
440,0.0169053678542459
450,0.0172884306566581
460,0.0176714424997647
470,0.0180544033937338
480,0.018437313348731
490,0.0188201723749187
500,0.019202980482457
510,0.0195857376815032
520,0.0199684439822119
530,0.0203510993947349
540,0.0207337039292213
550,0.0211162575958178
560,0.021498760404668
570,0.021881212365913
580,0.0222636134896913
590,0.0226459637861384
600,0.0230282632653875
610,0.0234105119375687
620,0.0237927098128098
630,0.0241748569012356
640,0.0245569532129683
650,0.0249389987581276
660,0.0253209935468302
670,0.0257029375891903
680,0.0260848308953194
690,0.0264666734753262
700,0.026848465339317
710,0.027230206497395
720,0.027611896959661
730,0.0279935367362131
740,0.0283751258371467
750,0.0287566642725544
760,0.0291381520525262
770,0.0295195891871495
780,0.0299009756865089
790,0.0302823115606865
800,0.0306635968197614
810,0.0310448314738104
820,0.0314260155329073
830,0.0318071490071235
840,0.0321882319065276
850,0.0325692642411854
860,0.0329502460211602
870,0.0333311772565127
880,0.0337120579573007
890,0.0340928881335796
900,0.0344736677954018
910,0.0348543969528173
920,0.0352350756158733
930,0.0356157037946145
940,0.0359962814990828
950,0.0363768087393173
960,0.0367572855253548
970,0.0371377118672292
980,0.0375180877749716
990,0.0378984132586108
1000,0.0382786883281727
1010,0.0386589129936806
1020,0.0390390872651552
1030,0.0394192111526143
1040,0.0397992846660735
1050,0.0401793078155452
1060,0.0405592806110396
1070,0.0409392030625641
1080,0.0413190751801233
1090,0.0416988969737193
1100,0.0420786684533516
1110,0.0424583896290168
1120,0.0428380605107092
1130,0.0432176811084202
1140,0.0435972514321386
1150,0.0439767714918506
1160,0.0443562412975397
1170,0.0447356608591869
1180,0.0451150301867704
1190,0.0454943492902658
1200,0.0458736181796461
1210,0.0462528368648816
1220,0.0466320053559399
1230,0.0470111236627862
1240,0.0473901917953829
1250,0.0477692097636896
1260,0.0481481775776636
1270,0.0485270952472594
1280,0.0489059627824288
1290,0.0492847801931211
1300,0.0496635474892829
1310,0.0500422646808581
1320,0.0504209317777881
1330,0.0507995487900116
1340,0.0511781157274647
1350,0.0515566326000809
1360,0.0519350994177909
1370,0.052313516190523
1380,0.0526918829282027
1390,0.0530701996407531
1400,0.0534484663380944
1410,0.0538266830301443
1420,0.0542048497268179
1430,0.0545829664380277
1440,0.0549610331736836
1450,0.0553390499436927
1460,0.0557170167579596
1470,0.0560949336263864
1480,0.0564728005588724
1490,0.0568506175653143
1500,0.0572283846556064
1510,0.05760610183964
1520,0.0579837691273042
1530,0.0583613865284853
1540,0.0587389540530668
1550,0.05911647171093
1560,0.0594939395119532
1570,0.0598713574660123
1580,0.0602487255829806
1590,0.0606260438727287
1600,0.0610033123451247
1610,0.0613805310100339
1620,0.0617576998773193
1630,0.0621348189568409
1640,0.0625118882584566
1650,0.0628889077920211
1660,0.0632658775673871
1670,0.0636427975944042
1680,0.0640196678829197
1690,0.0643964884427783
1700,0.0647732592838218
1710,0.0651499804158899
1720,0.0655266518488192
1730,0.065903273592444
1740,0.066279845656596
1750,0.0666563680511042
1760,0.067032840785795
1770,0.0674092638704923
1780,0.0677856373150174
1790,0.0681619611291889
1800,0.0685382353228229
1810,0.068914459905733
1820,0.06929063488773
1830,0.0696667602786222
1840,0.0700428360882155
1850,0.0704188623263129
1860,0.070794839002715
1870,0.0711707661272198
1880,0.0715466437096228
1890,0.0719224717597166
1900,0.0722982502872916
1910,0.0726739793021355
1920,0.0730496588140333
1930,0.0734252888327675
1940,0.073800869368118
1950,0.0741764004298622
1960,0.0745518820277749
1970,0.0749273141716282
1980,0.0753026968711919
1990,0.0756780301362329
2000,0.0760533139765157
2010,0.0764285484018022
2020,0.0768037334218518
2030,0.0771788690464212
2040,0.0775539552852647
2050,0.0779289921481338
2060,0.0783039796447776
2070,0.0786789177849427
2080,0.0790538065783729
2090,0.0794286460348097
2100,0.0798034361639918
2110,0.0801781769756554
2120,0.0805528684795343
2130,0.0809275106853595
2140,0.0813021036028597
2150,0.0816766472417608
2160,0.0820511416117862
2170,0.0824255867226568
2180,0.0827999825840911
2190,0.0831743292058046
2200,0.0835486265975107
2210,0.0839228747689199
2220,0.0842970737297404
2230,0.0846712234896778
2240,0.085045324058435
2250,0.0854193754457125
2260,0.0857933776612082
2270,0.0861673307146174
2280,0.0865412346156329
2290,0.086915089373945
2300,0.0872888949992414
2310,0.0876626515012072
2320,0.0880363588895251
2330,0.088410017173875
2340,0.0887836263639347
2350,0.0891571864693789
2360,0.0895306974998801
2370,0.0899041594651084
2380,0.0902775723747309
2390,0.0906509362384126
2400,0.0910242510658156
2410,0.0913975168665998
2420,0.0917707336504224
2430,0.0921439014269379
2440,0.0925170202057986
2450,0.0928900899966541
2460,0.0932631108091514
2470,0.093636082652935
2480,0.0940090055376469
2490,0.0943818794729266
2500,0.0947547044684111
2510,0.0951274805337348
2520,0.0955002076785294
2530,0.0958728859124245
2540,0.0962455152450468
2550,0.0966180956860205
2560,0.0969906272449676
2570,0.0973631099315071
2580,0.0977355437552559
2590,0.0981079287258282
2600,0.0984802648528356
2610,0.0988525521458873
2620,0.0992247906145899
2630,0.0995969802685475
2640,0.0999691211173619
2650,0.100341213170632
2660,0.100713256437954
2670,0.101085250928923
2680,0.101457196653129
2690,0.101829093620163
2700,0.10220094183961
2710,0.102572741321054
2720,0.102944492074077
2730,0.103316194108258
2740,0.103687847433173
2750,0.104059452058396
2760,0.104431007993499
2770,0.104802515248051
2780,0.105173973831618
2790,0.105545383753763
2800,0.105916745024049
2810,0.106288057652034
2820,0.106659321647275
2830,0.107030537019326
2840,0.107401703777737
2850,0.107772821932059
2860,0.108143891491836
2870,0.108514912466614
2880,0.108885884865933
2890,0.109256808699333
2900,0.109627683976349
