"cond.SN","replc","cells","Vj.fit","se"
"C","2",FALSE,0,0
"C","1",FALSE,0,0
"E","2",FALSE,0,0
"E","1",FALSE,0,0
"M","2",FALSE,0.253229666995511,0.256503767089579
"M","1",FALSE,0.221131470017819,0.0957073383834739
"P","2",FALSE,1.71952697986604,0.13725995801381
"P","1",FALSE,0.668071377163568,0.11941045088805
"S","2",FALSE,0,0
"S","1",FALSE,0,0
"T","2",FALSE,0,0
"T","1",FALSE,0.6520106265242,0.171256830076644
"C","2",TRUE,2.18281377003894,0.098485307935909
"C","1",TRUE,0.81623037835931,0.11116319252289
"E","2",TRUE,0.121943479388205,0.0501821013695633
"E","1",TRUE,0,0
"M","2",TRUE,33.1865583309639,1.28550659649191
"M","1",TRUE,32.5881984829538,2.05519743074314
"P","2",TRUE,2.29673067017644,0.129748022111029
"P","1",TRUE,0.911088890634515,0.143719575471765
"S","2",TRUE,30.6876386698623,1.5310020646089
"S","1",TRUE,32.2832794981197,1.41923747729574
"T","2",TRUE,37.435215441825,2.5021613163258
"T","1",TRUE,40.1259681329515,1.95358698401394
