"cond.SN","cond.SN.dil","strain","well","fit","fit.se","od600.m","od600.sd","cfu.m","cfu.sd","REP","cfu.se"
"C",0,"P","A06",1.00181805181405,0.297890006973657,0.001,0,2611.11111111111,0,1,0
"C",0,"P","A12",0.33639459873057,0.113088367796401,0.001,0,2611.11111111111,0,2,0
"C",0.00625,"P","A05",0,0,0.001,0,2611.11111111111,0,1,0
"C",0.00625,"P","A11",0.48810239526816,0.189946916658208,0.001,0,2611.11111111111,0,2,0
"C",0.0125,"P","A04",0.712283605669511,0.103134147777461,0.001,0,2611.11111111111,0,1,0
"C",0.0125,"P","A10",0.554160129129945,0.18283252689788,0.001,0,2611.11111111111,0,2,0
"C",0.025,"P","A03",6.40543672108897,0.152764560018338,0.0133,0.00105934990547138,34727.7777777778,2766.08030873083,1,874.711396653116
"C",0.025,"P","A09",9.99141682272864,0.627547818456616,0.0633,0.00561842207978954,165283.333333333,14670.3243194505,2,4639.16388628232
"C",0.05,"P","A02",26.3037541602832,0.525637767453551,0.0363,0.00105934990547138,94783.3333333333,2766.08030873083,1,874.711396653116
"C",0.05,"P","A08",27.4085980197139,1.39345894286306,0.0606,0.000843274042711569,158233.333333333,2201.88222263576,2,696.296296296296
"C",0.1,"P","A01",38.1806043307976,0.24989974847328,0.0125,0.000849836585598798,32638.8888888889,2219.01775128575,1,701.7150262408
"C",0.1,"P","A07",30.2501628612472,0.151949783086687,0.0207,0.00105934990547138,54050,2766.08030873083,2,874.711396653116
"M",0,"P","D06",0.655358597906427,0.21392054478956,0.001,0,2611.11111111111,0,1,0
"M",0,"P","D12",0.614494232258756,0.171024306972408,0.001,0,2611.11111111111,0,2,0
"M",0.00625,"P","D05",13.0324478446494,2.56068231939456,0.0329,0.00395671019352638,85905.5555555555,10331.4099497633,1,3267.07868821778
"M",0.00625,"P","D11",36.3654705343155,0.55829967179674,0.0301,0.000875595035770914,78594.4444444444,2286.27592673516,2,722.983928809535
"M",0.0125,"P","D04",40.4684263653416,2.79505640086528,0.0293,0.00200277585143998,76505.5555555555,5229.47027875994,1,1653.70370370371
"M",0.0125,"P","D10",40.295035152415,0.95404645073287,0.0485,0.00741245198597903,126638.888888889,19354.7357411675,2,6120.50484527565
"M",0.025,"P","D03",44.2676276776322,0.434814734306148,0.0545,0.00724568837309472,142305.555555556,18919.2974186362,1,5982.80715730345
"M",0.025,"P","D09",12.5539939676369,1.09415306330339,0.0819,0.0103112667612773,213850,26923.8632100019,2,8514.07311544183
"M",0.05,"P","D02",40.0920161513086,0.249826807332545,0.0629,0.00299814757623585,164238.888888889,7828.49644906028,1,2475.58794335708
"M",0.05,"P","D08",57.7099408530022,0.348380378766137,0.0608,0.00204396129556745,158755.555555556,5337.01004953723,2,1687.71076517457
